The initialization template is either None or invalid, the servers and jobs will be generated randomly
Episode 19000, Average_updates: 0.242884, iterations: 9481000,reward: -2427.804907
Episode 19100, Average_updates: 0.242177, iterations: 9530900,reward: -2420.999017
Episode 19200, Average_updates: 0.241767, iterations: 9580800,reward: -2414.470172
Episode 19300, Average_updates: 0.243010, iterations: 9630700,reward: -2427.254597
Episode 19400, Average_updates: 0.243521, iterations: 9680600,reward: -2430.879101
Episode 19500, Average_updates: 0.244178, iterations: 9730500,reward: -2438.713140
Episode 19600, Average_updates: 0.244498, iterations: 9780400,reward: -2444.225008
Episode 19700, Average_updates: 0.243447, iterations: 9830300,reward: -2432.075416
Episode 19800, Average_updates: 0.241793, iterations: 9880200,reward: -2414.461507
Episode 19900, Average_updates: 0.243394, iterations: 9930100,reward: -2435.170763
Episode 20000, Average_updates: 0.243076, iterations: 9980000,reward: -2431.428553
Episode 20100, Average_updates: 0.243134, iterations: 10029900,reward: -2429.892527
Episode 20200, Average_updates: 0.242686, iterations: 10079800,reward: -2424.452043
Episode 20300, Average_updates: 0.244567, iterations: 10129700,reward: -2445.467543
Episode 20400, Average_updates: 0.242697, iterations: 10179600,reward: -2424.089738
Episode 20500, Average_updates: 0.244313, iterations: 10229500,reward: -2439.260274
Episode 20600, Average_updates: 0.241647, iterations: 10279400,reward: -2415.534452
Episode 20700, Average_updates: 0.242199, iterations: 10329300,reward: -2420.199667
Episode 20800, Average_updates: 0.243334, iterations: 10379200,reward: -2431.467426
Episode 20900, Average_updates: 0.242969, iterations: 10429100,reward: -2424.970252
Episode 21000, Average_updates: 0.242866, iterations: 10479000,reward: -2425.063203
Episode 21100, Average_updates: 0.243201, iterations: 10528900,reward: -2426.432582
Episode 21200, Average_updates: 0.242469, iterations: 10578800,reward: -2421.167721
Episode 21300, Average_updates: 0.240661, iterations: 10628700,reward: -2403.958121
Episode 21400, Average_updates: 0.243205, iterations: 10678600,reward: -2431.784932
Episode 21500, Average_updates: 0.243881, iterations: 10728500,reward: -2436.364200
Episode 21600, Average_updates: 0.241462, iterations: 10778400,reward: -2412.442540
Episode 21700, Average_updates: 0.243012, iterations: 10828300,reward: -2432.201986
Episode 21800, Average_updates: 0.241926, iterations: 10878200,reward: -2416.651603
Episode 21900, Average_updates: 0.241264, iterations: 10928100,reward: -2412.555986
Episode 22000, Average_updates: 0.244014, iterations: 10978000,reward: -2436.370212
Episode 22100, Average_updates: 0.241711, iterations: 11027900,reward: -2413.962765
Episode 22200, Average_updates: 0.241120, iterations: 11077800,reward: -2407.939065
Episode 22300, Average_updates: 0.242150, iterations: 11127700,reward: -2415.922995
Episode 22400, Average_updates: 0.243094, iterations: 11177600,reward: -2433.566558
Episode 22500, Average_updates: 0.242260, iterations: 11227500,reward: -2421.491202
Episode 22600, Average_updates: 0.242750, iterations: 11277400,reward: -2426.464992
Episode 22700, Average_updates: 0.242782, iterations: 11327300,reward: -2426.893262
Episode 22800, Average_updates: 0.241857, iterations: 11377200,reward: -2414.538065
Episode 22900, Average_updates: 0.240728, iterations: 11427100,reward: -2405.819014
